text,What is the start time  this movie playing at liberty
config_4.yml,{'id': -2224626229049905541, 'name': 'starttime', 'confidence': 0.9909725785255432}
config_5.yml,{'id': -2224626229049905541, 'name': 'starttime', 'confidence': 0.871309220790863}
config_8.yml,{'id': -2224626229049905541, 'name': 'starttime', 'confidence': 0.9906439781188965}
config_9.yml,{'id': -2224626229049905541, 'name': 'starttime', 'confidence': 0.9687022566795349}
config_1.yml,{'id': -2224626229049905541, 'name': 'starttime', 'confidence': 0.9563517570495605}
config_7.yml,{'id': -2224626229049905541, 'name': 'starttime', 'confidence': 0.8061126470565796}
config_2.yml,{'name': 'starttime', 'confidence': 0.5714057733464805}
final intent,{'id': -2224626229049905541, 'name': 'starttime', 'confidence': 0.8538828472723152, 'count': 4.191956081857192}

text,I want tickets for 4 people tomorrow
config_4.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9988298416137695}
config_5.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9992693066596985}
config_8.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9944967031478882}
config_9.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9924376010894775}
config_1.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9971704483032227}
config_7.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9960089325904846}
config_2.yml,{'name': 'inform', 'confidence': 0.49054346200112636}
final intent,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9005915333994122, 'count': 4.191956081857192}

text,Which theater plays infinity war by 4.30 p.m.
config_4.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.8901999592781067}
config_5.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9944384098052979}
config_8.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9265958070755005}
config_9.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9802459478378296}
config_1.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.8837984800338745}
config_7.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9196481704711914}
config_2.yml,{'name': 'theater', 'confidence': 0.6402233371889074}
final intent,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.8617249273139334, 'count': 4.191956081857192}

text,I want 3 tickers for zootopia
config_4.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9752518534660339}
config_5.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9896743893623352}
config_8.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9973692297935486}
config_9.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9982098340988159}
config_1.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9935738444328308}
config_7.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9992793202400208}
config_2.yml,{'name': 'inform', 'confidence': 0.4704538436549622}
final intent,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.8958053300562338, 'count': 4.191956081857192}

text,I want to watch a comedy movie in nyc
config_4.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9667713046073914}
config_5.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.999832034111023}
config_8.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9997261762619019}
config_9.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9998494982719421}
config_1.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9998164772987366}
config_7.yml,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9977562427520752}
config_2.yml,{'name': 'inform', 'confidence': 0.6258102569031557}
final intent,{'id': -9005180453922172644, 'name': 'inform', 'confidence': 0.9116235073903207, 'count': 4.191956081857192}

text,Which theater playing Deadpool in  hamilton?
config_4.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.8650763034820557}
config_5.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.8471337556838989}
config_8.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9833102226257324}
config_9.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.8747617602348328}
config_1.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.8768612742424011}
config_7.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9027747511863708}
config_2.yml,{'name': 'theater', 'confidence': 0.43426479992506956}
final intent,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.8063422237858598, 'count': 4.191956081857192}

text,Where I can purchase  3 tickets for batman in los angeles?
config_4.yml,{'id': 3578266428463649767, 'name': 'theater+starttime', 'confidence': 0.8498390316963196}
config_5.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.5933581590652466}
config_8.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.5366125106811523}
config_9.yml,{'id': 3578266428463649767, 'name': 'theater+starttime', 'confidence': 0.4784858822822571}
config_1.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.728615403175354}
config_7.yml,{'id': 3960040712610376166, 'name': 'description', 'confidence': 0.37528666853904724}
config_2.yml,{'name': 'nlu_fallback', 'confidence': 1.0}
final intent,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.36984889307051527, 'count': 4.191956081857192}

text,What is the name of the theater is playing zootopis
config_4.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.7650033831596375}
config_5.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9335213899612427}
config_8.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9767709374427795}
config_9.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9305359125137329}
config_1.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.9814020991325378}
config_7.yml,{'id': -1200158549658801672, 'name': 'theater', 'confidence': 0.8848349452018738}
